Manager,ID,Username
Bad K,1,KisScam
李 李,2,好堡！
Mike Evans,3,Yorovision
Sam Holland,4,Aimless Wanderers
Wojciech Sobczuk,5,KP Pruszcz Gdański
Oliver Brown,6,The Elf Army
Стефан Вељковић,7,Haaland tiembla
Erki Lomp,8,Raúl's Moving Castle
Holly Shand,9,HollyGunnarSolskjær
Chris FC,10,Managed by EtH
Ivar Mehl Olsen,11,Souvlanke
Igiava No. 1,12,Choco Lasagna
Jack Palmer,13,Rum Ham United
Big Z,14,Big Z
Mike Hastie,15,Cheam Team
Simon Hansson,16,Simons Muppar
Alan P,17,Cupol Kneckers
Martin Ellevold,18,GTA Svein Andreas
Saif Rahman,19,R f
Fredrik Drægebø,20,Ola Aina Bjørndalen
Chris Musson,21,change name
Peter Chen,22,vcheeze
Robert Hatland,23,robbs
Andy LTFPL,24,Let's Talk FPL
Ahmed Ashmawy,25,Silent Bats
James Green,26,Gullit the dogs out
Mark Walker,27,Walkers
Dan Sherwood,28,Gold Striving
Aljaz Tisler,29,ToS
Ted Maw,30,Los Capituladores
Gustav Mårtensson,31,Slot Machine
Dom Latham,32,Ødeparfum
Dom W,33,NetoFelix + Chilwell
Jostein D,34,Brannsverk
Sebastien Van Renterghem,35,Garden Of Eden
Matthew Fern,36,⭐⚽ Smash & Grab ⚽⭐
Tuukka Nisonen,37,Nkunkun nimipäivät
Alexander Hirst,38,Paraolympiacos
Christopher Christensen,39,CCFC
FeKy __,40,FeKy
Forsen _jr,41,Kudus to you
Gareth Jones,42,Grover & Moomin Utd
Emil Bjørn,43,Livin' Lavia Loca
Neil Soper,44,Bricktopia
Casper Perry,45,PerryNormal Activity
Nishant Mehta,46,Rolls Reus
Adam Campbell,47,147 elite
Alex Payne,48,Blue - All Rice
Ronny Andersen,49,RetroHeaven
Kaapo Martinmäki,50,Ange Management
Justin Tay,51,Ayylmao
Danny Schiffelers,52,Otterveurdt
Vikash Rangasamy,53,YouAreNotThePalmer
Emil Gjefsen,54,Haalandaise sauce
George Pîrcălabu,55,Artetaball
Mateusz Skowronek,56,Kinder Mbeumo
Ayush Panchal,57,Corn on the Kobbie
Alex Russell,58,Pique Blinders
Ben Taylor,59,DropIt Like its Slot
Jonny C,60,ahaha
John Doe,61,Crikey O’Riley
Joel Rugman,62,Groß Misconduct
Prakash Chetwani,63,Lord of the Light
Sky Rift,64,CountSeeLore
Markku Ojala,65,Kovin(?) Sakki
Mike Ames,66,Amusing Team Name
Asbjørn Ihlen,67,The UnLuckyTigers
Nandish Gorasia,68,ØdeParfum
Jason Curry,69,Zero Negativity
Suleiman Hassan,70,Pep Gvardiola
Jonj B,71,Ødepaarfum
Joel Harvey,72,FPL Generico
Lee Sheppard,73,Flekken Hell
Ansh Puthran,74,Bachmann Robin
Kalle Palmunen,75,Alisson Wonderland
Kyle Waller,76,K04LA92 FC
free Palestine (طربال),77,طربال
Callum Jefferies,78,Take It Eze
Cole B,79,Danger Zone
Vasanth JS,80,Nensanity
James Arnold,81,The SeaGOALS
K F,82,L
Dylan Brookes-Parry,83,DRBP
Ibrahim Mohammedsalih,84,Sudan IA
Lee Byron,85,Gunners XI
Håkon Olsen,86,Hawk Tuahnzebe
Hampus Johansson,87,FC Klasstorp
Maciej Chmielewski,88,VAMOS
Eirik Nilssen,89,Big Tunas
Dylan Broadhurst,90,Durst FC
