Player,Start,Now,+/-
Bryan Mbeumo (BRE),7.0,7.7,0.7
Mohamed Salah (LIV),12.5,13.2,0.7
Nicolas Jackson (CHE),7.5,8.2,0.7
Matheus Santos Carneiro Da Cunha (WOL),6.5,7.1,0.6
Chris Wood (NFO),6.0,6.6,0.6
Cole Palmer (CHE),10.5,11.0,0.5
Bukayo Saka (ARS),10.0,10.4,0.4
Danny Welbeck (BHA),5.5,5.9,0.4
Virgil van Dijk (LIV),6.0,6.4,0.4
Rayan Aït-Nouri (WOL),4.5,4.9,0.4
Ola Aina (NFO),4.5,4.9,0.4
João Pedro Junqueira de Jesus (BHA),5.5,5.8,0.3
Morgan Rogers (AVL),5.0,5.3,0.3
Ibrahima Konaté (LIV),5.0,5.3,0.3
Robert Sánchez (CHE),4.5,4.8,0.3
Rico Lewis (MCI),4.5,4.7,0.2
Antonee Robinson (FUL),4.5,4.7,0.2
Antoine Semenyo (BOU),5.5,5.7,0.2
Lucas Digne (AVL),4.5,4.7,0.2
Joško Gvardiol (MCI),6.0,6.2,0.2
Michael Keane (EVE),4.0,4.2,0.2
André Onana (MUN),5.0,5.2,0.2
Yoane Wissa (BRE),6.0,6.2,0.2
Matz Sels (NFO),4.5,4.7,0.2
Noussair Mazraoui (MUN),4.5,4.7,0.2
Gabriel dos Santos Magalhães (ARS),6.0,6.2,0.2
Brennan Johnson (TOT),6.5,6.7,0.2
Emile Smith Rowe (FUL),5.5,5.7,0.2
Diogo Dalot Teixeira (MUN),5.0,5.2,0.2
Liam Delap (IPS),5.5,5.6,0.1
Ashley Young (EVE),4.5,4.6,0.1
Jørgen Strand Larsen (WOL),5.5,5.6,0.1
Murillo Santiago Costa dos Santos (NFO),4.5,4.6,0.1
Wout Faes (LEI),4.0,4.1,0.1
Sepp van den Berg (BRE),4.0,4.1,0.1
Pedro Porro (TOT),5.5,5.6,0.1
Marc Cucurella Saseta (CHE),5.0,5.1,0.1
Joël Veltman (BHA),4.5,4.6,0.1
James Maddison (TOT),7.5,7.6,0.1
Georginio Rutter (BHA),5.5,5.6,0.1
Łukasz Fabiański (WHU),4.0,4.1,0.1
Raúl Jiménez (FUL),5.5,5.6,0.1
Caoimhin Kelleher (LIV),4.5,4.6,0.1
Taylor Harwood-Bellis (SOU),4.0,4.1,0.1
Jurriën Timber (ARS),5.5,5.6,0.1
Alex Iwobi (FUL),5.5,5.6,0.1
Filip Marschall (AVL),4.0,4.0,0.0
William Osula (NEW),5.0,5.0,0.0
Ollie Scarles (WHU),4.0,4.0,0.0
Jamaal Lascelles (NEW),4.5,4.5,0.0
Harvey Davies (LIV),4.0,4.0,0.0
Joseph O'Brien-Whitmarsh (SOU),4.5,4.5,0.0
Ismeal Kabia (ARS),4.5,4.5,0.0
Solly March (BHA),6.5,6.5,0.0
Amara Nallo (LIV),4.0,4.0,0.0
Sandro Tonali (NEW),5.5,5.5,0.0
Jean-Ricner Bellegarde (WOL),5.0,5.0,0.0
Harrison Armstrong (EVE),4.5,4.5,0.0
Evan Ferguson (BHA),5.5,5.5,0.0
Brandon Austin (TOT),4.0,4.0,0.0
Asmir Begovic (EVE),4.0,4.0,0.0
Toby Collyer (MUN),4.5,4.5,0.0
John Ruddy (NEW),4.0,4.0,0.0
Diego Carlos Santos Silva (AVL),4.5,4.5,0.0
Juan Larios López (SOU),4.0,4.0,0.0
Salah-Eddine Oulad M'hand (ARS),4.5,4.5,0.0
Jayden Meghoma (BRE),4.0,4.0,0.0
Tony Yogane (BRE),4.5,4.5,0.0
Lewis Miley (NEW),5.0,5.0,0.0
Godwill Kukonki (MUN),4.0,4.0,0.0
Adam Smith (BOU),4.5,4.5,0.0
Ezra Mayers (WHU),4.0,4.0,0.0
Conor Townsend (IPS),4.0,4.0,0.0
Steven Benda (FUL),4.0,4.0,0.0
Sugawara Yukinari (SOU),4.5,4.5,0.0
Remi Matthews (CRY),4.0,4.0,0.0
Calvin Bassey (FUL),4.5,4.5,0.0
Jacob Slater (BHA),4.0,4.0,0.0
Caleb Kporha (CRY),4.0,4.0,0.0
Asher Agbinone (CRY),4.5,4.5,0.0
Jahmai Simpson-Pusey (MCI),4.0,4.0,0.0
Paris Maghoma (BRE),4.5,4.5,0.0
Callum Bates (EVE),4.5,4.5,0.0
Callum Olusesi (TOT),4.5,4.5,0.0
Jayce Fitzgerald (MUN),4.5,4.5,0.0
Jacob Wright (MCI),4.5,4.5,0.0
Jack Fletcher (MUN),4.5,4.5,0.0
Josh Nichols (ARS),4.0,4.0,0.0
Kaelan Casey (WHU),4.0,4.0,0.0
